"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","3,700.0","3,600.0","3,800.0","3,600.0","1.44M","2.78%"
"05/30/2024","3,600.0","3,600.0","3,800.0","3,500.0","3.23M","2.86%"
"05/29/2024","3,500.0","3,500.0","3,600.0","3,500.0","522.68K","0.00%"
"05/28/2024","3,500.0","3,500.0","3,600.0","3,500.0","452.54K","0.00%"
"05/27/2024","3,500.0","3,500.0","3,600.0","3,500.0","660.47K","0.00%"
"05/24/2024","3,500.0","3,600.0","3,600.0","3,400.0","2.27M","-2.78%"
"05/23/2024","3,600.0","3,500.0","3,700.0","3,500.0","1.49M","2.86%"
"05/22/2024","3,500.0","3,500.0","3,600.0","3,500.0","947.98K","0.00%"
"05/21/2024","3,500.0","3,400.0","3,600.0","3,400.0","1.52M","2.94%"
"05/20/2024","3,400.0","3,500.0","3,600.0","3,400.0","1.66M","-2.86%"
"05/17/2024","3,500.0","3,400.0","3,500.0","3,400.0","929.03K","2.94%"
"05/16/2024","3,400.0","3,400.0","3,500.0","3,300.0","673.36K","0.00%"
"05/15/2024","3,400.0","3,500.0","3,600.0","3,400.0","1.40M","-2.86%"
"05/14/2024","3,500.0","3,400.0","3,600.0","3,400.0","1.46M","2.94%"
"05/13/2024","3,400.0","3,500.0","3,600.0","3,400.0","1.19M","-2.86%"
"05/10/2024","3,500.0","3,400.0","3,600.0","3,300.0","1.59M","2.94%"
"05/09/2024","3,400.0","3,300.0","3,400.0","3,200.0","1.15M","3.03%"
"05/08/2024","3,300.0","3,300.0","3,400.0","3,200.0","441.91K","-2.94%"
"05/07/2024","3,400.0","3,300.0","3,400.0","3,200.0","787.85K","3.03%"
"05/06/2024","3,300.0","3,200.0","3,300.0","3,200.0","272.91K","3.13%"
"05/03/2024","3,200.0","3,200.0","3,300.0","3,200.0","225.57K","0.00%"
"05/02/2024","3,200.0","3,100.0","3,300.0","3,100.0","466.33K","3.23%"
"04/26/2024","3,100.0","3,100.0","3,200.0","3,100.0","821.03K","-3.13%"
"04/25/2024","3,200.0","3,300.0","3,300.0","3,200.0","343.57K","-3.03%"
"04/24/2024","3,300.0","3,200.0","3,300.0","3,100.0","721.62K","6.45%"
"04/23/2024","3,100.0","3,300.0","3,300.0","3,100.0","415.66K","-3.13%"
"04/22/2024","3,200.0","3,200.0","3,300.0","3,100.0","730.63K","3.23%"
"04/19/2024","3,100.0","3,100.0","3,200.0","3,000.0","742.18K","-3.13%"
"04/17/2024","3,200.0","3,300.0","3,300.0","3,000.0","2.53M","-3.03%"
"04/16/2024","3,300.0","3,300.0","3,400.0","3,100.0","1.31M","0.00%"
"04/15/2024","3,300.0","3,500.0","3,600.0","3,300.0","1.28M","-5.71%"
"04/12/2024","3,500.0","3,500.0","3,600.0","3,500.0","840.38K","0.00%"
"04/11/2024","3,500.0","3,500.0","3,600.0","3,500.0","587.87K","0.00%"
"04/10/2024","3,500.0","3,500.0","3,600.0","3,500.0","324.14K","0.00%"
"04/09/2024","3,500.0","3,600.0","3,700.0","3,400.0","2.18M","-2.78%"
"04/08/2024","3,600.0","3,600.0","3,700.0","3,600.0","703.91K","0.00%"
"04/05/2024","3,600.0","3,700.0","3,700.0","3,500.0","3.40M","-5.26%"
"04/04/2024","3,800.0","3,800.0","3,900.0","3,700.0","867.30K","0.00%"
"04/03/2024","3,800.0","3,800.0","3,900.0","3,800.0","894.63K","0.00%"
"04/02/2024","3,800.0","3,800.0","3,900.0","3,700.0","862.86K","0.00%"
"04/01/2024","3,800.0","3,900.0","3,900.0","3,800.0","1.41M","0.00%"
"03/29/2024","3,800.0","3,900.0","4,000.0","3,800.0","571.42K","-2.56%"
"03/28/2024","3,900.0","4,000.0","4,000.0","3,800.0","2.38M","-2.50%"
"03/27/2024","4,000.0","4,000.0","4,100.0","3,900.0","1.25M","-2.44%"
"03/26/2024","4,100.0","3,800.0","4,100.0","3,800.0","6.96M","7.89%"
"03/25/2024","3,800.0","3,900.0","3,900.0","3,800.0","2.04M","0.00%"
"03/22/2024","3,800.0","3,800.0","3,900.0","3,800.0","1.26M","0.00%"
"03/21/2024","3,800.0","3,900.0","3,900.0","3,800.0","2.32M","-2.56%"
"03/20/2024","3,900.0","3,900.0","3,900.0","3,800.0","523.51K","2.63%"
"03/19/2024","3,800.0","3,800.0","3,900.0","3,800.0","438.84K","-2.56%"
"03/18/2024","3,900.0","3,900.0","3,900.0","3,700.0","2.27M","0.00%"
"03/15/2024","3,900.0","3,900.0","3,900.0","3,800.0","455.73K","0.00%"
"03/14/2024","3,900.0","3,900.0","4,000.0","3,800.0","1.26M","0.00%"
"03/13/2024","3,900.0","3,900.0","3,900.0","3,800.0","480.32K","0.00%"
"03/12/2024","3,900.0","3,900.0","3,900.0","3,800.0","463.14K","0.00%"
"03/11/2024","3,900.0","3,900.0","4,000.0","3,800.0","744.99K","0.00%"
"03/08/2024","3,900.0","4,000.0","4,000.0","3,800.0","1.93M","-2.50%"
"03/07/2024","4,000.0","4,000.0","4,000.0","3,900.0","926.72K","2.56%"
"03/06/2024","3,900.0","3,900.0","4,100.0","3,900.0","1.80M","-2.50%"
"03/05/2024","4,000.0","4,000.0","4,000.0","3,900.0","561.58K","0.00%"
"03/04/2024","4,000.0","3,900.0","4,000.0","3,900.0","720.03K","2.56%"
"03/01/2024","3,900.0","3,900.0","4,000.0","3,900.0","1.15M","0.00%"
"02/29/2024","3,900.0","3,900.0","4,000.0","3,900.0","1.40M","0.00%"
